merchant_group,merchant_name,cc_type,cc_code
Marketing,"Sanford, Rivera and Garcia",Adjustment,69309
Software & SaaS,"Schmidt, Hansen and Stewart",ACH Debit,61270
Marketing,"Williams, Logan and Camacho",Online Payment,53169
Office Supplies,Mendez and Sons,Service Fee,63746
Office Supplies,Baxter Inc,ACH Debit,61270
Marketing,Richards-Carson,Wire Transfer,63825
Marketing,"Conner, Li and Santiago",Refund,69726
Logistics,Kane PLC,Adjustment,61270
Marketing,"Graham, Olsen and Costa",Wire Transfer,51423
Professional Services,Chapman and Sons,Adjustment,69349
Software & SaaS,"Henderson, Cox and Cox",Adjustment,61270
Marketing,Blake and Sons,Online Payment,53070
Office Supplies,Good-Hodges,ACH Debit,61270
Office Supplies,Stafford Inc,Online Payment,53070
Software & SaaS,Jones and Sons,Online Payment,59012
Professional Services,Navarro-Munoz,Online Payment,59012
Travel & T&E,Hernandez PLC,Wire Transfer,62403
Office Supplies,Ramirez-Bean,Online Payment,53070
Office Supplies,Campbell-Clark,Adjustment,61270
Travel & T&E,Brown Group,Refund,69726
Utilities,Baker and Sons,Service Fee,63825
Marketing,Cortez LLC,ACH Debit,54572
Travel & T&E,Carlson-Smith,Refund,69726
Logistics,Rangel LLC,Wire Transfer,62403
Logistics,"Fernandez, Kim and George",POS Purchase,57164
Professional Services,Lee-Davis,Recurring Subscription,61029
Professional Services,Marshall-Elliott,ACH Debit,52848
Professional Services,Frazier Inc,Refund,57223
Marketing,Freeman-Chang,Online Payment,53169
Marketing,"Graham, Olsen and Costa",Wire Transfer,51423
Travel & T&E,"Baker, Mason and White",Refund,62449
Logistics,Williams Inc,POS Purchase,57164
Professional Services,Taylor and Sons,Online Payment,53169
Marketing,Guerrero Inc,Refund,62449
Marketing,"Hoffman, Baker and Richards",POS Purchase,56515
Marketing,Yu Inc,Wire Transfer,63825
Logistics,"Woods, Calhoun and Schmidt",Refund,69726
Utilities,"Hicks, Bullock and Bailey",Wire Transfer,62403
Travel & T&E,"Miller, Murphy and Craig",Wire Transfer,67571
Professional Services,Jones-Fox,Adjustment,69349
Travel & T&E,Hill Inc,Refund,62449
Logistics,Allen-Allen,Wire Transfer,62403
Office Supplies,Diaz Inc,Service Fee,53039
Office Supplies,"Brown, Valdez and Lucas",Wire Transfer,67571
Software & SaaS,Bowen Group,Service Fee,63825
Software & SaaS,Ware and Sons,Adjustment,69349
Travel & T&E,"Tapia, Vaughn and Lee",ACH Debit,52848
Office Supplies,"Beltran, Lozano and Mcgee",ACH Debit,52848
Software & SaaS,Bruce-Gonzalez,Refund,62449
Professional Services,Graham Group,Adjustment,69309
Marketing,"Diaz, Anderson and Browning",Recurring Subscription,61029
Utilities,Walker Ltd,ACH Debit,52848
Office Supplies,"Estrada, Williams and Foster",Wire Transfer,68089
Logistics,Jimenez Ltd,Online Payment,53070
Professional Services,"Hernandez, Thompson and Boyd",Wire Transfer,68089
Travel & T&E,"Branch, Torres and Oliver",Adjustment,61270
Office Supplies,Cole-Palmer,Service Fee,53070
Marketing,Miller-Wright,ACH Debit,62403
Software & SaaS,Manning Group,Wire Transfer,51423
Logistics,"Marks, Cook and Aguilar",Recurring Subscription,61029
Utilities,Estrada-Nolan,ACH Debit,65054
Utilities,Terry-Martinez,Online Payment,59012
Software & SaaS,"Mitchell, Nelson and Flores",Refund,62449
Travel & T&E,Young Ltd,Refund,69726
Utilities,Burgess-Thompson,Adjustment,64719
Travel & T&E,Burton Ltd,Adjustment,69349
Logistics,Robinson-Lee,Service Fee,53039
Professional Services,Anderson-Bell,POS Purchase,57164
Software & SaaS,Moore Group,Adjustment,61270
Marketing,"Brooks, Lam and Hayes",POS Purchase,57164
Professional Services,Jones-Fox,Adjustment,69349
Office Supplies,Frank-Bradley,POS Purchase,56515
Logistics,"Wright, Garcia and Deleon",Wire Transfer,63825
Logistics,Coffey-Phillips,POS Purchase,57164
Marketing,Hancock and Sons,ACH Debit,65054
Professional Services,"Lawson, Morris and Ramos",POS Purchase,57164
Professional Services,Crosby-Ramirez,Wire Transfer,67571
Professional Services,George Group,Wire Transfer,67571
Software & SaaS,"Sanchez, Wheeler and Harvey",Online Payment,53070
Software & SaaS,Chandler-Edwards,Adjustment,69309
Utilities,Suarez LLC,Service Fee,63746
Marketing,"Pollard, Simpson and Johnson",Refund,62449
Marketing,Harrell LLC,ACH Debit,52848
Software & SaaS,"Sanchez, Wheeler and Harvey",Online Payment,53070
