merchant_group,merchant_name,cc_type,cc_code
Logistics,Brennan-Martinez mez,Fee_ZUT,75987
Logistics,Wyatt PLC gjs,Card_JGO,74135
Energy,Kelly Group kyn,POS_ZUC,72783
Telecom,Bryant-Hall ltx,Card_JGO,74581
Healthcare,Pittman Group xsu,POS_ZTL,74271
Dining,Brown-Brady ary,POS_ZUC,74775
Energy,Johnson-Gomez ngm,Fee_QKA,73407
Telecom,"Colon, Williams and Miller zdk",POS_ZUC,69787
Logistics,Lewis-Hubbard abb,POS_ZTL,74271
Finance,"Morton, Myers and King llm",POS_ZUC,74775
Education,Craig-Davis zct,Card_JGO,74135
Finance,"Gonzales, Griffin and Lloyd kcm",Fee_QKA,75427
Logistics,"Hayes, Martinez and Ward hmk",Card_JGO,74135
Finance,"Vargas, Franklin and Rogers yvd",Fee_ZUT,66454
Telecom,"Trujillo, Acosta and Pratt qgc",Card_JGO,74581
Healthcare,Lopez Ltd bij,Wire_HJN,73382
Telecom,"Hill, Williams and Wallace ndg",Fee_QKA,75191
Finance,"Rasmussen, Ryan and Hansen xei",POS_ZUC,69784
Construction,Williams-Castillo lgn,POS_ZUC,69787
Energy,Bartlett Inc bkl,POS_OEC,74402
Real Estate,Garcia-James saz,Fee_RDT,72921
Construction,"Dawson, Rodriguez and Diaz gda",Fee_QKA,75191
Telecom,Ward LLC jpv,ACH_YUU,68064
Education,"Washington, Carter and Park sna",POS_ZUC,72783
Dining,Miller PLC xgk,POS_ZUC,74775
Construction,Lowery Group wxv,Fee_RDT,72921
Dining,Long-Brown mvg,Fee_ZUT,70311
Finance,Ryan-Murray ygi,POS_OEC,74402
Education,"Scott, Flores and Todd pfa",POS_OEC,74402
Telecom,"Rose, Estrada and Vincent hnk",Fee_QAN,71290
Healthcare,Griffin Group goo,Fee_RDT,72921
Healthcare,Lopez Ltd bij,Wire_HJN,73382
Logistics,Herrera and Sons crg,Fee_QAN,73000
Dining,"Robinson, Conner and Parrish sqi",Fee_ZUT,70311
Telecom,"Huang, Wright and Blankenship wqz",Fee_RDT,72921
Energy,Lopez-Porter fsa,ACH_XEY,75996
Telecom,Palmer-Smith hmf,ACH_YUU,67035
Construction,"Guzman, Johnson and White qmp",Card_JGO,74581
Energy,Mitchell-Lopez ghr,Fee_QKA,75191
Real Estate,Fleming LLC dsr,ACH_YUU,67035
Real Estate,Torres Inc lja,Fee_ZUT,66454
Education,Figueroa-Mitchell qla,Card_JGO,74135
Logistics,Porter Inc isj,Fee_QAN,73000
Energy,"Smith, Browning and Best dkq",POS_ZTL,67569
Finance,Hall LLC obx,POS_ZUC,74775
Energy,Vaughan Group xaf,ACH_YUU,67035
Energy,"Jones, Henderson and Smith yvu",Fee_QAN,70240
Telecom,Smith-Hernandez gvg,Wire_HJN,71778
Finance,"Smith, Hudson and Johnson ucl",POS_OEC,74005
Finance,Gill-Young zpd,Wire_HJN,71778
Logistics,Porter Inc isj,Fee_QAN,73000
Logistics,Roberts Ltd ayi,ACH_YUU,68064
Finance,Patrick-Stewart mor,POS_OEC,74005
Finance,"Rasmussen, Ryan and Hansen xei",POS_ZUC,69784
Dining,Brown-Brady ary,POS_ZUC,74775
Real Estate,Smith LLC xzr,ACH_YUU,68064
Finance,"Frank, Dawson and Graham lrt",Wire_DPU,67903
Finance,Bauer LLC kyb,POS_ZTL,67569
Construction,Klein-Russell xru,Fee_QAN,71290
Dining,Campbell Ltd psi,Fee_ZUT,75987
Healthcare,Lee and Sons fwt,POS_ZUC,72783
Real Estate,Allen-Clements xee,POS_OEC,73382
Dining,May LLC tuj,Fee_QKA,75427
Telecom,"Green, Crawford and Macias wog",POS_OEC,74402
Education,Figueroa-Mitchell qla,Card_JGO,74135
Energy,Young PLC vwa,POS_OEC,73382
Construction,Diaz-Yang pke,Fee_QKA,75191
Construction,Quinn LLC vyc,Fee_QKA,75427
Real Estate,Montgomery-Hughes arw,POS_OEC,74402
Logistics,"Martinez, Franklin and Allen utk",POS_ZUC,72783
Education,Nelson-Richardson fyw,POS_OEC,73382
Logistics,Clark-Deleon oqs,POS_ZUC,72783
Telecom,"Phillips, Henry and Cruz wxk",POS_ZUC,74775
Telecom,"Williams, Roberts and Scott job",POS_ZTL,74271
Energy,White and Sons ids,Wire_DPU,67903
Dining,Miller PLC xgk,POS_ZUC,74775
Construction,Smith-Stewart xgy,Fee_QAN,71290
Logistics,"Watson, Ferrell and Smith cbf",ACH_YUU,68064
Energy,Mann Inc tej,POS_ZUC,74775
Energy,"Jones, Henderson and Smith yvu",Fee_QAN,70240
Real Estate,Long-Fields tvf,Card_JGO,74135
Energy,"Gibson, Nelson and Washington cvk",Fee_QKA,75191
Logistics,Johnson-Esparza qcn,Fee_RDT,72921
Energy,Adams-Alvarado tgl,Wire_HJN,71778
Education,"Martin, Nelson and Roth mao",Fee_ZUT,66454
Healthcare,"Peters, Mitchell and Smith utd",POS_FPA,72783
Logistics,"Colon, Gilbert and Parker mug",ACH_YUU,68064
Education,Mcgee PLC hel,POS_OEC,73382
Energy,Jefferson Ltd vin,POS_OEC,74402
Dining,Short-Lee ddj,POS_FPA,70003
Energy,"Jones, Henderson and Smith yvu",Fee_QAN,70240
Real Estate,Wilson and Sons msv,Fee_ZUT,75987
Dining,May LLC tuj,Fee_QKA,75427
Healthcare,"Hanson, Brown and Wheeler alu",POS_ZUC,69787
Education,"Washington, Carter and Park sna",POS_ZUC,72783
Real Estate,"Johnson, Wu and Terry tti",POS_FPA,70003
Real Estate,"Peters, Espinoza and Barnett fnt",POS_FPA,72783
Education,Nelson-Richardson fyw,POS_OEC,73382
Education,Martin LLC mky,POS_OEC,74402
Telecom,Ward LLC jpv,ACH_YUU,68064
Telecom,Randall-Lee rsi,POS_ZTL,74271
Dining,Campbell Ltd psi,Fee_ZUT,75987
Telecom,"Huang, Wright and Blankenship wqz",Fee_RDT,72921
Logistics,"Anderson, Kaufman and Fox hwo",Fee_QKA,75191
Logistics,Morris-Simmons grp,ACH_YUU,68064
Dining,Russell Group ghd,Wire_HJN,71778
Energy,Vaughan Group xaf,ACH_YUU,67035
Education,"Russell, Mclean and Salazar awb",POS_ZUC,74775
Healthcare,Lee and Sons fwt,POS_ZUC,72783
Finance,Sanchez-Singh ryb,Fee_QKA,73407
Logistics,Herrera and Sons crg,Fee_QAN,73000
Logistics,Peterson-Douglas qxd,POS_ZUC,69784
Real Estate,"Hernandez, Chaney and Medina qnb",POS_FPA,70003
Construction,"Nguyen, Ware and Osborne rev",POS_ZUC,74775
Real Estate,Williams-Gilbert nua,Fee_QAN,71290
Finance,"Nelson, Campbell and Williams gwv",POS_ZUC,69784
Logistics,"Vang, Velez and Anderson ach",POS_ZUC,69787
Telecom,"Phillips, Stone and Brown bgs",Wire_DPU,67903
Telecom,"Colon, Williams and Miller zdk",POS_ZUC,69787
Construction,Kelly-Ross bgl,Fee_ZUT,75987
Telecom,"Fletcher, Morris and Murphy xqt",POS_FPA,70003
Telecom,"Trujillo, Acosta and Pratt qgc",Card_JGO,74581
Education,Nelson-Estrada xds,Fee_QAN,71290
Healthcare,Johnson-Palmer wii,Fee_ZUT,66454
Healthcare,Green-King qzr,POS_ZUC,69787
Dining,Farrell Inc hiw,POS_OEC,74005
Energy,"Dickerson, Russell and Fowler gfh",POS_OEC,74005
Telecom,"Fletcher, Morris and Murphy xqt",POS_FPA,70003
Healthcare,Green-King qzr,POS_ZUC,69787
Dining,"Gilbert, Hamilton and Lee syx",POS_ZTL,74271
Education,Malone PLC dgg,Fee_QAN,73000
Dining,"Barnett, Mcdaniel and Duncan oet",POS_FPA,70003
Dining,Taylor-Friedman skp,POS_OEC,74005
Energy,Lee-Mcconnell yun,POS_ZTL,67569
Telecom,Mueller-Barnes dvo,POS_OEC,73382
Construction,"Sutton, Davis and Webb yqr",POS_OEC,74402
Education,Atkinson LLC qzj,Fee_ZUT,66454
Construction,Diaz-Yang pke,Fee_QKA,75191
Construction,"Guzman, Johnson and White qmp",Card_JGO,74581
Healthcare,Blackwell PLC xyp,ACH_YUU,68064
Finance,Knight and Sons axo,Fee_QKA,75191
Healthcare,"Peters, Mitchell and Smith utd",POS_FPA,72783
Dining,Price Inc tcy,Fee_ZUT,66454
Energy,Payne-Doyle pwa,POS_ZUC,72783
Education,West LLC wcu,Fee_QAN,71290
Finance,Ross PLC rof,Fee_QKA,75427
Healthcare,"Wolfe, Hernandez and Roberts yft",Fee_ZUT,75987
Logistics,"Best, Wilson and Garcia wqm",Card_JGO,74135
Energy,Frey-Waller hhm,Fee_ZUT,70311
Dining,Harris-Fisher zvn,POS_ZUC,74775
Dining,"Gilbert, Hamilton and Lee syx",POS_ZTL,74271
Education,"Garrett, Turner and Morris ijt",Card_JGO,74581
Healthcare,"Horn, Lopez and Rodriguez wvy",POS_ZUC,74775
Education,Simmons Group dyj,ACH_XEY,75996
Logistics,Alvarado-Cox mtk,POS_FPA,72783
Telecom,Hubbard-Thompson ehk,Fee_RDT,72921
Dining,Lucas PLC zrn,Card_JGO,74135
Logistics,"Hunter, Rodriguez and Griffin ztx",Card_JGO,74135
Construction,Klein-Russell xru,Fee_QAN,71290
Energy,Hensley-Bond fuu,Fee_ZUT,66454
Education,Waters Ltd ugq,ACH_YUU,67035
Education,"Moore, Conway and Bradley pln",POS_OEC,74402
Real Estate,Valdez-Smith dna,Fee_QAN,70240
Logistics,Nichols Ltd wlx,Fee_QKA,75191
Education,Flores Inc dvq,Card_JGO,74581
Dining,Mcgrath-Estrada ojj,POS_ZTL,74271
Logistics,"Hunter, Rodriguez and Griffin ztx",Card_JGO,74135
Real Estate,Torres Inc lja,Fee_ZUT,66454
Dining,Carroll-Tyler heg,POS_OEC,73382
Telecom,"James, Williams and Valencia glq",ACH_YUU,68064
Education,Carpenter-Aguirre yon,Fee_ZUT,70311
Energy,"Smith, Browning and Best dkq",POS_ZTL,67569
Telecom,"Morris, Parrish and Buck yny",Fee_QAN,71290
Dining,Farrell Inc hiw,POS_OEC,74005
Logistics,Lopez-Herring npw,Card_JGO,74581
Logistics,Oneal-Tran vhi,ACH_XEY,75996
Telecom,"Phillips, Stone and Brown bgs",Wire_DPU,67903
Finance,"Alvarez, Berry and Horn ebv",Card_JGO,74581
Education,Young-Smith cav,Fee_ZUT,66454
Education,Mata and Sons kue,Card_JGO,74581
Dining,"Smith, Leonard and Harris mnz",Wire_DPU,67903
Energy,"Rowland, Johnson and Bennett ylc",Fee_RDT,72921
Construction,Barber-Rodriguez kjl,Fee_QKA,73407
Logistics,Johnson-Myers tbu,POS_ZTL,74271
Healthcare,Doyle Inc kcf,Fee_QKA,73407
Real Estate,"Johnson, Wu and Terry tti",POS_FPA,70003
Education,Kelley Inc scu,POS_ZTL,67569
Dining,Williams and Sons apt,POS_FPA,70003
Healthcare,Campbell-Long wxc,Wire_HJN,71778
Dining,Short-Lee ddj,POS_FPA,70003
Finance,"Lin, Romero and Lopez awc",ACH_YUU,67035
Construction,Tran-Williams nnz,POS_ZUC,69784
Finance,Sanchez-Singh ryb,Fee_QKA,73407
Construction,Clark and Sons ofi,POS_OEC,73382
Finance,Ruiz and Sons yiw,Fee_QKA,73407
Logistics,Wagner PLC ont,POS_ZUC,74775
Education,Mcgee PLC hel,POS_OEC,73382
Healthcare,Williams Inc uci,Fee_QKA,73407
Energy,Jefferson Ltd vin,POS_OEC,74402
Construction,Golden PLC xls,Fee_ZUT,75987
Real Estate,Stuart Inc qfi,Wire_HJN,71778
Education,Hill LLC mpp,POS_ZTL,74271
Energy,Lozano-Moyer psu,POS_ZTL,67569
Construction,Hansen-Burns psu,POS_FPA,72783
Construction,Cox Ltd gqy,POS_ZUC,72783
Logistics,"Hunter, Rodriguez and Griffin ztx",Card_JGO,74135
Energy,Rose Group rxm,ACH_XEY,75996
Real Estate,Lopez and Sons omd,POS_ZTL,67569
Dining,Odonnell PLC kgp,POS_ZUC,74775
Education,Williams-Anderson lre,POS_OEC,74402
Real Estate,Wilson PLC ooz,Fee_QKA,75427
Dining,Gomez-Wright jkl,Fee_ZUT,75987
Healthcare,Jones and Sons hil,Wire_DPU,67903
Energy,Johnson-Gomez ngm,Fee_QKA,73407
Real Estate,Rodriguez Ltd ivx,Fee_QAN,71290
Real Estate,Sanchez-Wood hqv,Fee_QAN,73000
Healthcare,Fowler-Quinn bco,Fee_QAN,71290
Telecom,"Bates, Myers and Richmond gaq",POS_ZTL,73407
Healthcare,Andrade-Woodard yns,Card_JGO,74135
Logistics,"Ward, Galvan and Smith jlv",POS_FPA,72783
Energy,Frey-Waller hhm,Fee_ZUT,70311
Education,Williams-Anderson lre,POS_OEC,74402
