merchant_group,merchant_name,cc_type,cc_code
Finance,Terry and Sons vud,Auto_RSY,33145
Telecom,Hayes PLC ngi,ACH_HNZ,32870
Telecom,Burke LLC ukt,Auto_RSY,33145
Real Estate,"Baker, Fisher and Waller jlf",Auto_RSY,32772
Construction,Garcia-Richardson tng,ACH_HNZ,32870
Legal,Burns-Hernandez yha,POS_DVH,39008
Education,King-Burton vmt,ACH_UTR,32404
Legal,Perez-Williams axl,Transfer_CNP,37153
Finance,Sanchez-Mueller eso,POS_DVH,36575
Retail,Brooks PLC far,Auto_RSY,37873
Finance,Terry and Sons vud,Auto_RSY,33145
Legal,Henderson and Sons vvt,ACH_SMW,33319
Legal,"Oneal, Dorsey and Preston zil",POS_DVH,39008
Retail,Byrd Group rqs,Auto_RSY,37873
Education,Ellis-Johnson fni,Wire_CHB,32496
Retail,Mayo LLC iel,ACH_HNZ,37644
Legal,"Saunders, Parks and Rhodes hjw",Auto_BZE,34965
Energy,Walters Group tck,Auto_RSY,33145
Legal,Nguyen-Washington xnf,Auto_RSY,37873
Energy,"Butler, Davies and Hudson xjs",ACH_SMW,33256
Legal,Rogers-Martinez jlk,Wire_FFW,35743
Education,Ellis-Johnson fni,Wire_CHB,32496
Legal,Morgan-Matthews upq,ACH_SMW,33319
Education,"Brooks, Jones and Garrett lar",Fee_CHW,35497
Telecom,"Bates, Nunez and Kramer ckx",Auto_RSY,32772
Finance,Tate-Mitchell aon,Auto_BZE,39641
Manufacturing,Gonzalez-Caldwell rsw,Wire_CHB,35497
Education,Morris Inc lrp,Auto_BZE,39641
Media,Curtis-Taylor xzo,ACH_SMW,33319
Retail,"Hill, Edwards and Olson isr",Wire_NMT,37153
Energy,Hernandez-Best ytk,Wire_CHB,32496
Energy,Vega-Lewis sog,Auto_RSY,32927
Energy,Wallace PLC sfg,Auto_BZE,39641
Real Estate,"Mccullough, Holland and Hart ump",Wire_CHB,35497
Media,Camacho and Sons ycm,Wire_NMT,37153
Telecom,"Gamble, Smith and Walter ofk",Fee_CHW,39116
Telecom,"Chapman, Madden and Stevens fod",Auto_LVC,40913
Manufacturing,"Ball, Rodriguez and Larson uiw",Fee_CHW,39116
Education,Bowen-Ortega djk,Wire_NMT,37153
Education,Ellis-Johnson fni,Wire_CHB,32496
Finance,"Cruz, Stanley and Perez atx",Auto_LVC,40913
Finance,Sanchez-Mueller eso,POS_DVH,36575
