merchant_group,merchant_name,cc_type,cc_code
Software,"Gordon, Williams and White bvx",POS_TYB,22489
Construction,Jackson PLC kyl,Auto_YDJ,22489
Education,Castro Group uom,POS_TYB,29810
Software,Richardson PLC juo,POS_JAR,27805
Finance,Riddle-Clark yqq,Fee_FPI,26002
Construction,Dixon-Fernandez ysk,Transfer_EQV,28867
Healthcare,"Williams, Lewis and Patterson jzb",POS_SNH,24334
Manufacturing,"Hughes, Gonzalez and Adams knf",Fee_FPI,23814
Manufacturing,Lamb PLC mlx,POS_JAR,27257
Dining,Evans PLC ccn,Fee_FPI,26002
Consulting,"Foley, Kennedy and Miller kym",Auto_UNU,20636
Finance,"Lopez, Silva and Clark rye",Fee_FPI,23814
Travel,"Casey, Marshall and Collins aej",Wire_ZYW,27619
Travel,Peck Ltd tsd,POS_JAR,25936
Education,Franco Group tbw,Auto_NXC,24334
Finance,Harris-Holt pri,POS_SNH,20041
Education,"Patel, Crane and Thompson ljf",ACH_CPG,23588
Healthcare,Schmidt PLC pqb,Auto_YDJ,22489
Education,"Hughes, Martin and Garcia jog",Auto_NXC,24965
Manufacturing,Parker LLC sog,POS_TYB,29810
Software,Marks-Robinson jyi,Auto_NXC,24334
Software,Martin-Williams vpr,POS_TYB,25337
Telecom,Hunt-Skinner pgr,POS_SNH,23701
Dining,Smith LLC uta,POS_SNH,24334
Finance,Gray-Dunn zbj,Fee_FPI,24453
Telecom,Hall-Brooks qzy,Wire_ZYW,27619
Healthcare,Wright-Martin yry,POS_SNH,24334
Construction,Knight-Palmer nta,POS_JAR,25936
Healthcare,"Reed, Stanley and Nelson yfo",Auto_UNU,20636
Telecom,Johnson-Allison afl,Transfer_EQV,28867
Manufacturing,Harris-Hudson hod,Wire_ZYW,27619
Manufacturing,"Jones, Velazquez and Crawford yyz",Auto_NXC,23883
Telecom,Perkins Inc ffu,ACH_CPG,22342
Dining,"Peters, Robinson and Mitchell ffg",Wire_GZU,23588
Education,"Nelson, Cardenas and Stewart kux",Auto_YDJ,22489
Healthcare,"Castro, Silva and Cunningham rtm",Wire_ZYW,27619
Telecom,Thomas-Rodriguez ojb,Auto_NXC,24965
Healthcare,King-Galloway kfc,POS_TYB,22489
Consulting,Price Ltd hgp,Wire_GZU,23588
Healthcare,Chang and Sons hol,ACH_CPG,23588
Manufacturing,Davidson PLC rwk,POS_JAR,27805
Healthcare,"Johnson, Carlson and Adams aac",POS_TYB,27805
Telecom,Perez and Sons ehm,Transfer_EQV,28867
Education,Palmer Group mlv,POS_JAR,27805
Education,"Patel, Crane and Thompson ljf",ACH_CPG,23588
Travel,Rose-Wilson tpz,Auto_YDJ,26462
Construction,Jackson PLC kyl,Auto_YDJ,22489
Education,Brown-Welch jgj,POS_JAR,27257
Finance,"Olson, Moody and Arnold otv",POS_TYB,22489
Manufacturing,Guerrero Ltd trz,Fee_FPI,23814
Consulting,Frazier Inc lwu,Wire_ZYW,27619
Travel,Preston Ltd hfh,POS_JAR,27805
Manufacturing,Landry-Simpson eer,Wire_GZU,28996
Travel,Rogers-Bennett jcy,POS_TYB,25337
Dining,Erickson Group uxm,Auto_NXC,24965
Finance,"Woods, Lynch and Goodman mdv",Auto_NXC,24965
Dining,Benitez-Murphy ciq,POS_SNH,23701
Dining,"Pierce, Howard and Mathews pyj",Fee_FPI,24453
Telecom,"Franklin, Hudson and Diaz qrc",Auto_NXC,24965
Healthcare,"Reyes, Aguirre and Short xdf",Auto_NXC,24965
Education,Andrade and Sons zgf,Fee_FPI,26002
Healthcare,Gonzalez-Lee csp,POS_TYB,29810
Consulting,"Bishop, Crawford and Johnson hfc",Wire_GZU,23588
Telecom,Norman-Petersen ply,POS_JAR,25936
Finance,"Miller, West and Martinez tie",Auto_NXC,23883
Dining,"Bowers, Lambert and Jackson lux",Transfer_EQV,28867
Construction,"Allen, Hunter and Ramsey cpt",POS_TYB,22489
Education,Ray PLC trz,Wire_GZU,23588
Dining,Smith LLC uta,POS_SNH,24334
Telecom,Lee Inc swj,Auto_NXC,24334
Telecom,Bennett-Adams rms,POS_TYB,25337
Finance,Barnes and Sons xcc,Transfer_EQV,28867
Education,Rogers-Gay pgn,Auto_NXC,23883
Telecom,Gonzalez LLC qrr,Wire_ZYW,27619
Construction,"Jones, Walters and Reyes nxl",POS_SNH,27628
Education,Myers Inc rqf,Transfer_EQV,23883
Manufacturing,Jordan-Vaughn ioo,Transfer_GOO,25110
Construction,Curry PLC rhm,Auto_NXC,23883
Finance,Saunders and Sons ymn,Auto_YDJ,22489
Construction,Jensen PLC epq,ACH_CPG,22342
Construction,Suarez and Sons ege,POS_JAR,27257
Education,Reed PLC xpu,Wire_GZU,28996
Manufacturing,"Flores, Edwards and Mcdowell eju",Wire_GZU,23588
Manufacturing,Lamb PLC mlx,POS_JAR,27257
Healthcare,Morales-Jackson cke,POS_SNH,23701
Construction,"King, Hoover and Wright gvm",POS_SNH,29182
Healthcare,"Johnson, Carlson and Adams aac",POS_TYB,27805
Education,Rogers-Gay pgn,Auto_NXC,23883
Telecom,Cochran PLC evh,POS_TYB,22489
Healthcare,"Johnson, Carlson and Adams aac",POS_TYB,27805
Healthcare,Wright-Martin yry,POS_SNH,24334
Telecom,Hughes-Townsend dco,Wire_ZYW,27619
Healthcare,Arroyo-Fisher kgz,ACH_CPG,23588
