YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,20.89,23.59,25.99,28.79,27.19,23.99,22.79,22.89,22.79,23.39,21.89,19.69,21.75,27.32,23.22,22.69,23.75
1881,19.29,21.49,24.99,27.89,28.19,25.39,24.89,23.99,23.89,23.59,21.99,20.39,20.16,27.02,24.76,23.16,23.77
1882,20.39,22.49,25.59,27.69,26.59,23.99,21.89,999.90,999.90,999.90,20.99,19.39,21.09,26.62,22.74,999.90,23.18
1883,999.90,21.79,25.59,27.49,26.89,24.59,22.89,23.19,22.69,21.99,19.69,17.99,20.30,26.66,23.56,21.46,22.99
1884,18.09,20.69,999.90,26.49,27.09,24.89,24.19,24.09,24.09,22.59,20.99,20.69,18.92,26.35,24.39,22.56,23.06
1885,20.99,23.49,24.89,27.29,27.69,24.29,23.49,24.59,24.49,23.59,21.49,21.19,21.72,26.62,24.12,23.19,23.92
1886,20.59,22.39,25.59,28.19,26.19,24.19,23.39,22.99,23.49,23.09,21.39,19.89,21.39,26.66,23.52,22.66,23.56
1887,21.09,21.99,25.69,27.49,26.19,23.89,22.79,23.39,22.99,22.59,21.59,19.99,20.99,26.46,23.36,22.39,23.30
1888,20.49,22.69,25.89,27.49,26.59,999.90,999.90,999.90,999.90,999.90,999.90,20.49,21.06,26.66,999.90,999.90,999.90
1889,20.39,22.99,25.79,27.89,27.99,24.69,23.69,23.69,23.69,22.69,21.59,20.09,21.29,27.22,24.02,22.66,23.80
1890,19.69,22.59,26.09,27.19,26.49,24.29,23.69,22.69,22.69,23.79,21.79,21.09,20.79,26.59,23.56,22.76,23.42
1891,20.49,23.09,25.59,27.69,28.49,25.29,23.39,23.89,24.59,23.59,22.39,21.69,21.56,27.26,24.19,23.52,24.13
1892,20.69,23.49,26.69,27.89,26.89,25.29,23.19,22.79,22.59,23.19,21.59,20.59,21.96,27.16,23.76,22.46,23.83
1893,21.19,23.39,24.99,26.89,26.09,23.99,23.09,23.09,23.19,22.89,21.59,19.49,21.72,25.99,23.39,22.56,23.42
1894,21.29,22.99,26.69,27.09,26.29,24.39,23.69,23.49,23.39,23.59,21.19,20.99,21.26,26.69,23.86,22.72,23.63
1895,21.09,22.69,25.59,26.29,27.09,25.29,22.99,23.39,23.69,22.99,22.09,20.19,21.59,26.32,23.89,22.92,23.68
1896,20.39,23.19,25.99,28.89,27.59,24.69,23.99,23.39,24.19,23.99,23.09,21.39,21.26,27.49,24.02,23.76,24.13
1897,22.19,25.09,27.09,28.19,28.59,25.39,24.19,24.09,23.29,23.69,22.59,20.59,22.89,27.96,24.56,23.19,24.65
1898,20.89,23.09,25.49,28.09,27.59,24.69,24.09,24.39,23.39,23.89,21.49,20.59,21.52,27.06,24.39,22.92,23.97
1899,20.29,23.09,25.59,26.39,26.09,24.69,24.99,24.69,23.49,23.89,21.29,20.19,21.32,26.02,24.79,22.89,23.76
1900,22.39,24.49,26.99,28.29,28.89,25.49,24.09,23.99,23.59,23.49,22.39,21.59,22.36,28.06,24.52,23.16,24.52
1901,22.89,23.99,25.29,27.99,26.69,24.59,23.69,23.69,24.69,23.89,22.59,20.19,22.82,26.66,23.99,23.72,24.30
1902,20.99,22.59,26.19,27.59,27.39,25.49,24.19,24.59,23.39,23.19,22.19,21.60,21.26,27.06,24.76,22.92,24.00
1903,21.90,23.70,26.70,28.00,27.20,25.10,23.80,23.40,23.40,23.10,21.00,20.00,22.40,27.30,24.10,22.50,24.08
1904,20.40,22.30,25.60,27.70,26.20,23.50,22.90,23.40,23.46,23.26,21.16,19.96,20.90,26.50,23.27,22.63,23.32
1905,20.86,23.56,25.66,26.76,26.86,24.76,23.76,23.56,23.46,23.06,21.96,20.27,21.46,26.43,24.03,22.83,23.69
1906,22.17,24.17,25.07,28.77,28.37,24.67,23.27,22.97,22.27,22.97,22.17,20.57,22.20,27.40,23.64,22.47,23.93
1907,20.57,23.07,25.37,25.67,26.47,23.97,23.27,22.37,23.67,23.57,21.87,20.67,21.40,25.84,23.20,23.04,23.37
1908,21.07,22.57,24.77,28.07,26.47,24.87,22.57,22.87,23.57,23.57,21.57,20.28,21.44,26.44,23.44,22.90,23.55
1909,21.18,23.18,25.98,26.98,26.08,24.58,22.88,23.38,22.68,23.38,22.68,21.58,21.55,26.35,23.61,22.91,23.61
1910,21.18,22.88,25.98,27.88,27.58,24.48,23.68,22.58,22.18,22.78,20.48,18.98,21.88,27.15,23.58,21.81,23.61
1911,21.08,21.38,25.38,27.28,26.58,24.28,22.88,22.98,24.18,22.98,22.18,20.89,20.48,26.41,23.38,23.11,23.35
1912,20.49,24.19,26.19,27.99,28.19,24.39,23.09,23.19,23.49,22.79,21.29,19.79,21.86,27.46,23.56,22.52,23.85
1913,19.99,23.19,25.99,28.09,27.49,24.39,22.79,23.29,24.29,22.79,21.69,21.49,20.99,27.19,23.49,22.92,23.65
1914,20.19,23.59,26.29,27.39,27.59,25.59,23.29,23.09,23.99,23.09,21.99,21.70,21.76,27.09,23.99,23.02,23.97
1915,21.70,23.90,25.60,27.60,27.30,25.00,24.00,24.20,23.90,23.80,22.20,20.00,22.43,26.83,24.40,23.30,24.24
1916,20.10,23.30,26.00,28.20,26.80,23.50,23.70,22.80,23.00,23.00,21.50,19.80,21.13,27.00,23.33,22.50,23.49
1917,20.00,22.00,24.80,27.20,26.10,23.40,24.00,23.30,23.00,22.20,22.00,20.41,20.60,26.03,23.57,22.40,23.15
1918,20.31,21.51,24.31,27.01,25.31,24.01,24.21,23.51,23.61,24.31,23.11,21.01,20.74,25.54,23.91,23.68,23.47
1919,22.21,24.01,25.71,28.41,26.61,24.11,23.61,23.31,23.71,23.61,22.01,21.01,22.41,26.91,23.68,23.11,24.03
1920,20.51,23.51,26.21,27.31,27.51,24.71,23.61,23.41,23.61,23.51,22.01,20.22,21.68,27.01,23.91,23.04,23.91
1921,21.92,22.82,26.12,26.72,27.72,24.52,23.62,23.42,22.72,23.02,21.12,20.12,21.65,26.85,23.85,22.29,23.66
1922,21.32,22.52,26.22,27.72,26.62,24.32,23.12,23.32,23.52,22.82,21.72,19.62,21.32,26.85,23.59,22.69,23.61
1923,20.52,22.82,24.92,27.12,27.02,25.12,22.42,23.02,23.12,23.22,22.72,21.43,20.99,26.35,23.52,23.02,23.47
